player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
386,25-26-prem-liverpool-vs-afc-bournemouth,72,0,1,1,0.03,0.02,1,0,0,2,61,40,87.0,1.0,3,0,0.0,0,0.0,2,1,2,0,0,0,1,5,5,4,50.0,1,50.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,67.0,0.12,3,0,72,1,0,0
86,25-26-prem-liverpool-vs-afc-bournemouth,84,0,1,2,0.19,0.19,0,2,0,6,34,12,67.0,3.0,2,2,50.0,0,0.0,2,0,5,0,0,0,4,4,7,4,36.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,67.0,100.0,0.0,2,0,84,2,0,0
392,25-26-prem-liverpool-vs-afc-bournemouth,31,0,1,0,0.0,0.0,0,0,0,0,22,16,94.0,1.0,3,0,0.0,2,100.0,1,0,0,0,1,1,1,3,1,2,67.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,50.0,0.0,2,60,94,2,0,0
382,25-26-prem-liverpool-vs-afc-bournemouth,82,0,0,1,0.14,0.28,0,0,0,5,73,38,75.0,3.0,12,2,50.0,4,100.0,2,0,6,0,1,1,2,3,7,3,38.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,100.0,0.0,2,0,82,2,0,0
67,25-26-prem-liverpool-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,52,22,63.0,0.0,7,0,0.0,12,48.0,0,0,8,0,4,0,0,0,0,0,0.0,0,0.0,0,0,6,4,3.05,-0.95,2,22,12,,2,0,0,0,0.0,0.0,0.0,0,0,94,4,0,0
685,25-26-prem-liverpool-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,59,30,73.0,0.0,6,0,0.0,1,13.0,2,1,8,0,6,1,0,4,2,3,100.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,100.0,0.0,2,0,94,4,0,0
366,25-26-prem-liverpool-vs-afc-bournemouth,90,0,0,0,0.0,0.01,0,0,0,0,46,33,87.0,0.0,7,0,0.0,7,58.0,0,0,7,0,2,0,0,0,0,0,0.0,0,0.0,0,0,1,2,0.81,-1.19,0,33,7,,1,0,0,0,0.0,0.0,0.0,0,0,94,2,0,0
77,25-26-prem-liverpool-vs-afc-bournemouth,1,0,0,0,0.0,0.0,0,0,0,0,6,1,50.0,0.0,1,0,0.0,0,0.0,0,1,0,0,1,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,90,94,1,0,0
82,25-26-prem-liverpool-vs-afc-bournemouth,90,2,0,3,0.91,0.02,2,1,1,4,37,7,47.0,0.0,2,0,0.0,2,67.0,1,1,3,0,0,0,0,8,11,3,38.0,5,45.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,33.0,100.0,0.75,1,0,94,4,0,0
384,25-26-prem-liverpool-vs-afc-bournemouth,90,1,0,3,0.2,0.44,2,2,0,7,57,21,72.0,3.0,2,1,33.0,1,50.0,1,0,6,0,1,1,0,12,11,6,50.0,6,55.0,3,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,29.0,100.0,0.55,1,0,94,2,0,0
