gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,home_distance_covered,away_distance_covered,home_walking_distance,away_walking_distance,home_running_distance,away_running_distance,home_sprinting_distance,away_sprinting_distance,home_number_of_sprints,away_number_of_sprints,home_top_speed,away_top_speed,tournament
3,,36.0,1813.37,,,43.0,1949.15,False,25-26-prem-brighton-hove-albion-vs-manchester-city,/matches/manchester-city-vs-brighton-hove-albion/2vnwg2#4813396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813396.0,False,False,,,,,,,,,,,,,prem
3,,17.0,1814.92,,,21.0,1719.5,False,25-26-prem-nottingham-forest-vs-west-ham-united,/matches/west-ham-united-vs-nottingham-forest/2xv42z#4813401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813401.0,False,False,,,,,,,,,,,,,prem
3,2025-08-26T18:45:00,,,1.0,2.0,90.0,1724.78,True,25-26-efl-cup-derby-county-vs-burnley,/matches/burnley-vs-derby-county/2sd9kk#4927190,55.0,45.0,1.38,0.86,13.0,8.0,5.0,2.0,2.0,1.0,1.0,0.0,441.0,349.0,,,6.0,11.0,5.0,3.0,1.19,0.77,0.18,0.09,,,1.44,0.5,3.0,3.0,5.0,3.0,1.0,0.0,9.0,6.0,4.0,2.0,510.0,415.0,182.0,240.0,259.0,109.0,28.0,21.0,,,2.0,5.0,,,18.0,13.0,28.0,16.0,0.0,2.0,1.0,1.0,0.0,0.0,13.0,6.0,,,8.0,17.0,3.0,5.0,27.0,31.0,1.0,3.0,52.0,42.0,30.0,26.0,,,22.0,16.0,,,5.0,8.0,,,,True,False,,,,,,,,,,,,,efl-cup
3,2025-08-26T18:45:00,94.0,1810.02,2.0,0.0,91.0,1809.01,True,25-26-efl-cup-brentford-vs-afc-bournemouth,/matches/afc-bournemouth-vs-brentford/2v5yfp#4927181,65.0,35.0,1.7,1.13,18.0,6.0,4.0,2.0,1.0,2.0,1.0,0.0,431.0,182.0,,,13.0,14.0,4.0,3.0,1.24,0.57,0.46,0.56,,,0.16,1.63,8.0,4.0,6.0,0.0,1.0,0.0,11.0,4.0,7.0,2.0,505.0,264.0,191.0,121.0,240.0,61.0,22.0,20.0,,,3.0,2.0,,,27.0,21.0,23.0,17.0,3.0,1.0,1.0,3.0,1.0,0.0,7.0,15.0,,,6.0,6.0,0.0,7.0,23.0,27.0,0.0,4.0,50.0,56.0,31.0,38.0,,,19.0,18.0,,,4.0,4.0,,,,True,False,,,,,,,,,,,,,efl-cup
3,,6.0,1802.91,,,91.0,1809.2,False,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,/matches/tottenham-hotspur-vs-afc-bournemouth/2gqg4e#4813403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813403.0,False,False,,,,,,,,,,,,,prem
3,2025-08-27T18:45:00,,,0.0,2.0,11.0,1796.39,True,25-26-efl-cup-mansfield-town-vs-everton,/matches/everton-vs-mansfield-town/2tqntz#4927192,66.0,34.0,2.19,0.32,14.0,3.0,6.0,0.0,3.0,0.0,2.0,0.0,604.0,276.0,,,5.0,10.0,5.0,1.0,2.11,0.32,0.07,0.0,,,1.87,0.0,5.0,0.0,3.0,3.0,0.0,0.0,9.0,3.0,5.0,0.0,687.0,351.0,258.0,148.0,346.0,128.0,25.0,20.0,,,4.0,4.0,,,22.0,17.0,35.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,10.0,,,10.0,8.0,3.0,3.0,8.0,32.0,0.0,4.0,45.0,40.0,29.0,28.0,,,16.0,12.0,,,7.0,3.0,,,,True,False,,,,,,,,,,,,,efl-cup
3,,,,1.0,1.0,56.0,1562.84,False,25-26-efl-cup-huddersfield-town-vs-sunderland,/matches/sunderland-vs-huddersfield-town/2rcsje#4927195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,efl-cup
3,2025-08-27T18:45:00,,,0.0,2.0,54.0,1783.36,True,25-26-efl-cup-bristol-city-vs-fulham,/matches/bristol-city-vs-fulham/2rrot6#4927177,58.0,42.0,0.72,0.4,11.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,569.0,371.0,,,7.0,5.0,3.0,8.0,0.54,0.33,0.18,0.07,,,1.23,0.0,3.0,5.0,4.0,2.0,0.0,1.0,7.0,7.0,4.0,0.0,629.0,434.0,373.0,208.0,196.0,163.0,26.0,22.0,,,1.0,5.0,,,20.0,16.0,18.0,22.0,1.0,6.0,1.0,0.0,0.0,0.0,15.0,12.0,,,8.0,6.0,2.0,4.0,35.0,11.0,0.0,3.0,41.0,35.0,29.0,22.0,,,12.0,13.0,,,5.0,1.0,,,,True,False,,,,,,,,,,,,,efl-cup
3,,39.0,1723.15,,,11.0,1796.58,False,25-26-prem-wolverhampton-wanderers-vs-everton,/matches/wolverhampton-wanderers-vs-everton/2gso21#4813404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813404.0,False,False,,,,,,,,,,,,,prem
3,,2.0,1727.07,,,4.0,1864.48,False,25-26-prem-leeds-united-vs-newcastle-united,/matches/leeds-united-vs-newcastle-united/2wdjjd#4813398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813398.0,False,False,,,,,,,,,,,,,prem
