id,first_name,second_name,web_name,status,news,now_cost,selected_by_percent,form,event_points,cost_change_event,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
209,Josh,Laurent,Laurent,a,,5.0,0.0,1.5,1,0,63,458,0.3,0.6,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Eli Junior,Kroupi,Kroupi.Jr,a,,4.5,1.2,1.0,1,0,19754,33050,0.2,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9401.0,19346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Ben,Gannon-Doak,Gannon-Doak,a,,5.0,0.1,0.0,0,0,492,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,Bafodé,Diakité,Diakité,a,,4.5,0.3,5.0,10,0,12724,4348,1.1,2.2,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7394.0,2811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,Amine,Adli,Adli,a,,5.5,0.0,1.0,1,0,1051,435,0.2,0.2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Dango,Ouattara,O.Dango,a,,6.0,1.3,6.5,13,0,109532,18712,1.1,2.2,7.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76096.0,13437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Caoimhín,Kelleher,Kelleher,a,,4.5,10.4,3.0,5,0,79076,54163,0.7,1.3,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43865.0,31643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Hákon Rafn,Valdimarsson,Valdimarsson,a,,4.0,0.9,0.0,0,0,1192,6862,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,3799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Nathan,Collins,Collins,a,,5.0,1.8,4.5,9,0,26942,10373,0.9,1.8,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16659.0,6156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Keane,Lewis-Potter,Lewis-Potter,a,,5.0,0.5,3.5,6,0,5488,3457,0.7,1.4,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3225.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Rico,Henry,Henry,a,,4.5,0.2,1.0,1,0,852,1954,0.2,0.4,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Michael,Kayode,Kayode,a,,4.5,0.5,5.5,10,0,32873,6052,1.2,2.4,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21121.0,4265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Mads,Roerslev Rasmussen,Roerslev,u,Has joined Southampton permanently.,4.5,0.0,0.0,0,0,0,1402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,John,McGinn,McGinn,a,,5.5,0.6,2.5,2,0,5274,11247,0.5,0.9,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2792.0,6247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Manuel,Benson Hedilazio,Benson,a,,5.5,0.0,0.0,0,0,282,442,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Đorđe,Petrović,Petrović,a,,4.5,3.6,4.0,6,0,43262,34612,0.9,1.8,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22914.0,21415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
