player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles_attempted,tackles,start_min,finish_min,team_goals_conceded
21,25-26-friendly-arsenal-vs-milan,66,0,0,3,0.0,0.0,0,1,0,2,36,25,96.0,0.0,5,0,0.0,1,100.0,1,0,1,0,0,0,0,2,1,2,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,50.0,100.0,0.0,,1.0,,,
24,25-26-friendly-arsenal-vs-milan,45,0,0,0,0.0,0.0,0,0,0,0,37,28,88.0,1.0,4,0,0.0,0,0.0,0,0,5,0,1,1,1,1,2,1,33.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,,1.0,,,
16,25-26-friendly-arsenal-vs-milan,66,1,0,3,0.0,0.0,2,0,0,11,49,25,86.0,2.0,1,1,25.0,1,100.0,2,0,2,0,0,0,2,5,8,5,45.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,0,0,5,0,1,0.0,67.0,0.0,,3.0,,,
7,25-26-friendly-arsenal-vs-milan,45,0,0,1,0.0,0.0,1,0,0,1,41,32,89.0,2.0,6,0,0.0,0,0.0,1,2,3,0,1,0,0,3,2,1,33.0,2,100.0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,,1.0,,,
9,25-26-friendly-arsenal-vs-milan,45,0,1,0,0.0,0.0,0,0,0,1,29,25,93.0,2.0,5,1,100.0,0,0.0,0,0,4,0,0,0,0,1,1,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,1.0,,,
6,25-26-friendly-arsenal-vs-milan,66,0,0,0,0.0,0.0,0,0,0,0,49,43,98.0,0.0,9,0,0.0,0,0.0,1,1,3,1,2,2,0,2,1,1,100.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,,1.0,,,
17,25-26-friendly-arsenal-vs-milan,45,0,0,3,0.0,0.0,1,0,0,3,49,34,89.0,1.0,5,1,33.0,1,100.0,0,2,2,0,0,0,0,1,0,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,7,0,0,0.0,0.0,0.0,,0.0,,,
30,25-26-friendly-arsenal-vs-milan,79,0,0,2,0.0,0.0,0,0,0,8,24,14,82.0,2.0,1,0,0.0,1,100.0,1,0,3,0,1,1,1,3,4,2,50.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,,1.0,,,
20,25-26-friendly-arsenal-vs-milan,45,0,0,2,0.0,0.0,2,1,0,2,37,24,83.0,0.0,0,1,50.0,0,0.0,0,1,4,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,100.0,0.0,0.0,,0.0,,,
12,25-26-friendly-arsenal-vs-milan,45,0,0,0,0.0,0.0,0,0,0,0,32,24,96.0,0.0,3,0,0.0,1,50.0,0,1,3,0,0,0,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,
