id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
119,a,,,8.0,18,12,0,0,0,0,16.5,27,6,236,0,6.2,2,2,29,948,0.0,665,297,0.0,29.5,0,0,0,0,0,2.1,,12.52,9.24,21.75,55.4,0.33,0.24,0.57,1.46,1236.8,2,2,1107.5,5,5,1060.0,8,3,340.8,2,2,,,,0,
18,a,,,7.0,36,24,0,0,0,0,1.5,158,55,120,0,3.8,63,31,12,425,0.0,643,283,0.0,17.1,0,0,0,0,0,2.8,,9.62,2.86,12.48,29.55,0.43,0.13,0.56,1.31,479.2,130,54,475.1,73,59,998.0,11,5,195.3,37,29,,,,0,
26,a,,,5.5,187,120,0,0,0,0,1.9,131,42,0,0,0.0,660,293,0,0,0.0,540,211,0.0,0.0,0,0,0,0,0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660,293,0.0,660,293,0.0,658,291,0.0,660,293,,,,0,
36,a,,,4.5,393,87,0,0,0,0,1.7,142,52,76,0,2.8,153,46,2,286,0.0,164,107,0.0,16.9,0,0,0,0,0,1.4,,0.48,1.23,1.71,28.64,0.02,0.05,0.07,1.25,359.2,173,61,181.0,185,43,171.0,170,38,71.3,191,60,,,,0,
24,a,,,5.5,127,82,0,0,0,0,0.8,216,73,107,0,3.1,127,60,7,580,0.0,480,173,0.0,19.5,0,0,0,0,0,2.5,,4.23,1.38,5.61,44.54,0.14,0.04,0.18,1.42,735.4,42,11,333.0,105,76,409.0,75,52,147.9,74,52,,,,0,
32,s,0.0,,5.0,225,9,0,0,0,0,0.5,261,36,111,0,3.0,133,20,6,457,0.0,338,69,0.0,22.2,0,0,0,0,0,0.0,,0.0,0.02,0.02,44.99,0.0,0.0,0.0,1.27,839.6,21,6,20.0,325,7,0.0,584,70,86.0,155,5,,,,0,
39,a,,,4.5,437,116,0,0,0,0,0.9,197,68,57,0,2.0,242,85,0,204,0.0,208,136,0.0,12.7,0,0,0,0,0,1.4,,0.87,2.43,3.3,17.31,0.07,0.19,0.26,1.38,252.0,223,81,293.4,125,25,197.0,153,28,74.3,187,56,,,,0,
40,a,,,4.5,381,79,0,0,0,0,0.6,241,85,47,0,3.4,95,17,5,207,0.0,152,99,0.0,10.4,0,0,0,0,0,1.4,,0.88,0.23,1.11,13.2,0.07,0.02,0.09,1.06,220.4,233,84,49.2,279,102,74.0,242,81,34.6,272,95,,,,0,
25,a,,,5.5,194,123,0,0,0,0,0.4,289,91,66,0,2.5,189,81,4,251,0.0,547,214,0.0,12.0,0,0,0,0,0,2.5,,1.19,1.78,2.97,5.38,0.12,0.18,0.3,0.55,293.2,203,96,282.8,130,91,255.0,115,79,83.0,161,89,4.0,3.0,,0,
33,a,,,4.5,362,19,0,0,0,0,0.3,338,50,0,0,0.0,493,70,0,0,0.0,133,48,0.0,0.0,0,0,0,0,0,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490,70,0.0,483,63,0.0,460,50,0.0,490,70,,,,0,
662,a,,,5.5,195,29,0,0,0,0,0.1,474,183,0,0,0.0,662,223,0,0,0.0,548,213,0.0,0.0,0,0,0,0,0,3.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662,223,0.0,662,223,0.0,660,223,0.0,662,223,,,,0,
27,a,,,5.0,251,158,0,0,0,0,0.2,454,152,27,0,2.2,220,96,2,143,0.0,364,100,0.0,5.4,0,0,0,0,0,2.0,,1.07,0.96,2.03,6.13,0.2,0.18,0.38,1.14,131.6,287,136,223.9,158,110,195.0,156,102,55.1,226,120,,,,0,
15,a,,,4.0,635,186,0,0,0,0,0.2,387,150,0,0,0.0,460,176,0,0,0.0,80,43,0.0,0.0,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456,175,0.0,446,173,0.0,417,167,0.0,456,175,,,,0,
48,a,,,6.0,86,59,0,0,0,0,1.9,135,44,121,0,3.4,101,48,15,686,0.0,574,231,0.0,20.2,0,0,0,0,0,1.6,,3.31,5.83,9.14,43.87,0.1,0.17,0.27,1.31,799.6,29,7,963.1,8,8,333.0,93,64,209.6,23,18,3.0,,4.0,0,
666,a,,,9.0,8,4,0,0,0,0,25.5,8,2,0,0,0.0,681,73,0,0,0.0,676,71,0.0,0.0,0,0,0,0,0,3.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681,73,0.0,681,73,0.0,681,73,0.0,681,73,,,,0,
41,a,,,4.5,427,113,0,0,0,0,0.5,268,97,55,0,2.3,205,71,3,254,0.0,198,133,0.0,12.2,0,0,0,0,0,1.4,,0.51,0.43,0.94,29.69,0.02,0.02,0.04,1.32,350.6,181,64,84.5,247,85,102.0,218,68,54.0,232,69,,,,0,
9,a,,,5.5,173,21,0,0,0,0,0.1,469,181,43,0,2.5,187,65,2,178,0.0,526,205,0.0,7.8,0,0,0,0,0,3.8,,0.17,0.29,0.46,14.71,0.01,0.02,0.03,1.19,267.2,214,77,91.3,244,82,32.0,286,102,39.2,261,88,,,,0,
37,a,,,4.5,368,69,0,0,0,0,1.8,139,50,89,0,2.8,150,43,7,383,0.0,139,89,0.0,19.8,0,0,0,0,0,1.4,,0.8,3.97,4.77,34.94,0.03,0.15,0.18,1.34,512.6,122,41,583.9,52,7,112.0,213,64,120.7,103,20,7.0,2.0,,0,
44,a,,,4.0,641,190,0,0,0,0,0.3,307,114,6,0,0.8,383,135,0,22,0.0,86,47,0.0,1.5,0,0,0,0,0,0.5,,0.04,0.13,0.17,9.28,0.01,0.02,0.03,1.77,84.8,311,114,33.3,303,115,15.0,310,115,13.3,319,116,,,,0,
30,a,,,7.5,22,10,0,0,0,0,1.3,167,27,97,0,4.2,35,9,14,343,0.0,656,64,0.0,12.9,0,0,0,0,0,2.9,,9.53,1.65,11.18,19.32,0.46,0.08,0.54,0.93,467.6,135,15,269.0,134,15,711.0,33,14,144.8,76,15,,,,0,
34,a,,,4.0,613,63,0,0,0,0,1.0,188,23,0,0,0.0,440,54,0,0,0.0,58,28,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437,54,0.0,427,45,0.0,396,30,0.0,437,54,,,,0,
16,a,,,10.0,5,3,0,0,0,0,16.8,27,6,127,0,5.1,11,6,18,508,0.0,677,302,0.0,12.7,0,0,0,0,0,3.5,,6.87,7.78,14.65,17.72,0.36,0.41,0.77,0.93,606.0,87,36,842.8,16,15,830.0,23,13,227.9,14,10,1.0,4.0,1.0,0,
21,a,,,6.5,52,36,0,0,0,0,7.4,55,17,127,0,3.6,79,39,17,627,0.0,612,256,0.0,19.5,0,0,0,0,0,2.7,,3.51,5.64,9.14,27.13,0.11,0.18,0.29,0.86,733.0,44,12,959.6,9,9,399.0,80,56,208.8,24,19,2.0,1.0,,0,
22,a,,,6.0,91,63,0,0,0,0,0.8,209,70,92,0,3.3,112,53,8,326,0.0,579,235,0.0,15.3,0,0,0,0,0,2.6,,5.75,1.18,6.93,15.71,0.33,0.07,0.4,0.9,456.8,136,57,265.8,137,96,511.0,58,40,123.3,99,65,,,,0,
1,a,,,5.5,130,4,0,0,0,0,17.6,24,5,142,0,3.7,68,11,10,555,0.0,483,80,0.0,25.8,0,0,0,0,0,4.5,,0.0,0.03,0.03,35.03,0.0,0.0,0.0,0.92,755.4,37,8,10.7,342,11,0.0,642,80,76.7,178,8,,,,0,
2,a,,,4.5,374,22,0,0,0,0,1.0,190,25,106,0,3.4,94,16,7,406,0.0,145,51,0.0,23.6,0,0,0,0,0,2.8,,0.06,0.03,0.09,38.83,0.0,0.0,0.0,1.25,744.4,38,9,10.4,344,12,4.0,333,1,75.8,183,9,,,,0,
6,a,,,6.0,105,7,0,0,0,0,13.7,32,12,130,0,3.7,70,11,14,564,0.0,593,222,0.0,21.7,0,0,0,0,0,4.5,,2.42,1.28,3.7,30.32,0.07,0.04,0.11,0.9,672.6,59,21,150.1,203,55,116.0,209,62,94.2,139,36,,,,0,
