gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,home_distance_covered,away_distance_covered,home_walking_distance,away_walking_distance,home_running_distance,away_running_distance,home_sprinting_distance,away_sprinting_distance,home_number_of_sprints,away_number_of_sprints,home_top_speed,away_top_speed,tournament
2,2025-08-23T16:30:00,3.0,1997.85,5.0,0.0,2.0,1731.2,True,25-26-prem-arsenal-vs-leeds-united,/matches/leeds-united-vs-arsenal/2rkmmx#4813386,68.0,32.0,2.88,0.17,18.0,3.0,5.0,1.0,3.0,0.0,1.0,0.0,549.0,219.0,,,8.0,11.0,2.0,2.0,0.96,0.07,1.13,0.1,,,2.77,0.14,9.0,0.0,4.0,2.0,0.0,0.0,13.0,2.0,5.0,1.0,599.0,290.0,345.0,172.0,204.0,47.0,24.0,13.0,,,8.0,1.0,,,28.0,14.0,34.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,12.0,,,5.0,6.0,2.0,3.0,7.0,20.0,1.0,0.0,48.0,33.0,35.0,29.0,,,13.0,4.0,,,12.0,4.0,,,4813386.0,True,False,,,,,,,,,,,,,prem
2,,4.0,1870.11,,,14.0,1997.49,False,25-26-prem-newcastle-united-vs-liverpool,/matches/liverpool-vs-newcastle-united/2ygyxm#4813393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813393.0,False,False,,,,,,,,,,,,,prem
2,,54.0,1784.41,0.0,1.0,1.0,1794.93,False,25-26-prem-fulham-vs-manchester-united,/matches/fulham-vs-manchester-united/3cqww9#4813391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813391.0,False,False,,,,,,,,,,,,,prem
2,2025-08-23T14:00:00,94.0,1801.44,1.0,0.0,7.0,1871.26,True,25-26-prem-brentford-vs-aston-villa,/matches/brentford-vs-aston-villa/3dciw4#4813387,24.0,76.0,1.27,1.23,9.0,17.0,2.0,2.0,2.0,0.0,1.0,0.0,126.0,506.0,,,11.0,9.0,2.0,9.0,0.96,0.84,0.31,0.39,,,1.37,0.13,4.0,7.0,3.0,8.0,0.0,0.0,8.0,12.0,1.0,5.0,178.0,577.0,64.0,205.0,62.0,301.0,23.0,24.0,,,5.0,3.0,,,13.0,23.0,25.0,43.0,1.0,0.0,1.0,2.0,0.0,0.0,17.0,12.0,,,9.0,5.0,8.0,3.0,47.0,12.0,2.0,1.0,61.0,50.0,45.0,31.0,,,16.0,19.0,,,7.0,7.0,,,4813387.0,True,False,,,,,,,,,,,,,prem
2,2025-08-23T14:00:00,90.0,1719.66,2.0,0.0,56.0,1567.96,True,25-26-prem-burnley-vs-sunderland,/matches/burnley-vs-sunderland/2anx64#4813388,42.0,58.0,1.0,0.77,7.0,9.0,2.0,1.0,2.0,2.0,1.0,2.0,356.0,530.0,,,9.0,5.0,4.0,3.0,0.97,0.41,0.02,0.37,,,1.58,0.7,4.0,3.0,1.0,5.0,1.0,0.0,4.0,6.0,3.0,3.0,442.0,616.0,181.0,232.0,175.0,298.0,15.0,16.0,,,4.0,5.0,,,11.0,19.0,17.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,8.0,,,7.0,7.0,5.0,1.0,29.0,27.0,1.0,0.0,45.0,48.0,30.0,29.0,,,15.0,19.0,,,3.0,2.0,,,4813388.0,True,False,,,,,,,,,,,,,prem
2,2025-08-22T19:00:00,21.0,1729.26,1.0,5.0,8.0,1899.57,True,25-26-prem-west-ham-united-vs-chelsea,/matches/chelsea-vs-west-ham-united/2f5ck5#4813394,40.0,60.0,0.94,2.93,12.0,12.0,4.0,7.0,1.0,7.0,1.0,2.0,327.0,500.0,,,7.0,10.0,7.0,5.0,0.35,1.99,0.59,0.94,,,0.35,5.29,5.0,4.0,3.0,1.0,0.0,0.0,9.0,10.0,3.0,2.0,382.0,570.0,175.0,257.0,152.0,243.0,17.0,18.0,,,6.0,3.0,,,25.0,14.0,19.0,29.0,4.0,2.0,0.0,1.0,0.0,0.0,6.0,12.0,,,7.0,4.0,1.0,3.0,27.0,17.0,2.0,3.0,39.0,46.0,25.0,30.0,,,14.0,16.0,,,5.0,4.0,,,4813394.0,True,False,,,,,,,,,,,,,prem
2,2025-08-23T11:30:00,43.0,1967.73,0.0,2.0,6.0,1783.92,True,25-26-prem-manchester-city-vs-tottenham-hotspur,/matches/manchester-city-vs-tottenham-hotspur/2egtpx#4813392,61.0,39.0,1.55,1.11,10.0,12.0,4.0,5.0,2.0,3.0,2.0,1.0,456.0,259.0,,,7.0,12.0,7.0,2.0,1.01,0.97,0.54,0.14,,,0.64,2.08,3.0,5.0,3.0,2.0,0.0,0.0,6.0,10.0,4.0,2.0,525.0,331.0,247.0,174.0,209.0,85.0,15.0,20.0,,,5.0,4.0,,,23.0,21.0,34.0,26.0,0.0,1.0,1.0,4.0,0.0,0.0,10.0,16.0,,,6.0,7.0,2.0,3.0,23.0,25.0,3.0,4.0,51.0,47.0,39.0,39.0,,,12.0,8.0,,,7.0,8.0,,,4813392.0,True,False,,,,,,,,,,,,,prem
2,2025-08-23T14:00:00,91.0,1804.0,1.0,0.0,39.0,1727.95,True,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-afc-bournemouth/2gwdd2#4813385,59.0,41.0,1.29,0.46,14.0,6.0,4.0,1.0,2.0,0.0,2.0,0.0,387.0,225.0,,,13.0,16.0,8.0,3.0,0.92,0.31,0.37,0.16,,,0.93,0.24,5.0,3.0,5.0,2.0,1.0,0.0,8.0,3.0,6.0,3.0,447.0,307.0,155.0,114.0,232.0,111.0,23.0,29.0,,,3.0,5.0,,,24.0,18.0,30.0,14.0,2.0,2.0,2.0,4.0,0.0,1.0,9.0,14.0,,,6.0,9.0,2.0,5.0,32.0,30.0,1.0,3.0,45.0,64.0,37.0,39.0,,,8.0,25.0,,,10.0,5.0,,,4813385.0,True,False,,,,,,,,,,,,,prem
2,,31.0,1838.23,1.0,1.0,17.0,1812.68,True,25-26-prem-crystal-palace-vs-nottingham-forest,/matches/crystal-palace-vs-nottingham-forest/3bfk5h#4813389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813389.0,False,False,,,,,,,,,,,,,prem
2,,11.0,1785.12,2.0,0.0,36.0,1824.42,True,25-26-prem-everton-vs-brighton-hove-albion,/matches/everton-vs-brighton-hove-albion/2y16fs#4813390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813390.0,False,False,,,,,,,,,,,,,prem
